data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99
24.4,27.3077,28.5,29.7692,27.5,28.5833,33.5385,29.8571,28.3333,27.3636,26,29.8,31.8182,33.1765,34.3158,33.9286,32,33.2308,29.2,27.3846,27.5833,26.8333,27.4667,31.3,33.3333,34.5,27.7,29.0769,27.1538,27.375,33.3333,29.8235,32.9333,40,33.2,32.4,29.1429,28.2143,28.5385,32.25,33.25,36.4167,32.1,30.6923,31.8889,29.5789,31.6522,34.1429,37.6,39.6,35.75,34.3,32.5455,34.2857,31.9333,31.8667,36.8182,35.5385,36.3636,34,35.1538,34.75,37.6667,37.381,34.25,32.7692,38.8182,35.6923,34.5,35.1818,40,39.2727,37.5,37.5714,37.4,35.0909,39.1667,35.9286,37.1667,39.5,37.25,40.0833,41.8571,39.9167,39.4,38.2727,37,33.6667,34.125,35.6,34.25,38.5833,40.5,43.9091,39.8182,36.25,32.9286,36.2308,38.4545
25.5714,27.75,28.5833,31.3333,31.0625,30,30.9091,31.3333,28.75,25.9,25.5385,29.3636,29.7692,32.1667,31.75,30.8333,35.1,33.1429,28.4167,28.2,25.1538,24.0769,28.8333,31,31.1538,30.6875,31.4615,28,28.625,26.5833,31.5185,30.6154,35.0769,35.7692,35.3077,32.9167,29.4167,28.75,28.9091,26.5385,27.5385,31.875,35.0909,28.4545,31.5,32.8462,31.2308,32.7647,35.4706,35.4737,33.5385,31.6667,27.5,30.4615,30.2727,32.2222,33.8889,32.4,34.6,37.2727,35.3846,33.5833,33.875,35.75,34.4545,33.5,33.3333,34.75,36.2353,30.0714,38.0556,42.2857,38.1667,36.0435,35.3158,33.2778,39.6667,36.8824,39.2222,39.5714,36.3571,36.35,41.7143,40.1,38.2857,38.7222,39.3333,38,36.4167,36.3077,36.7692,38.125,37.2222,44.4286,39.7143,38.5,36.1429,35.8667,38.4615
26.8182,27.2,29.0667,30.9286,32,31.2308,30.0714,30.3125,33.6875,26.8235,27.75,29.9231,27.9091,31.3333,31.2,35.0769,33.7333,26.2857,31.5385,27.8,27.5,28.5833,29.2308,28.9167,28.3333,30.7692,29.8182,25.5,28.6667,28.05,29.8182,27.8462,32.0909,35.9091,37.3846,33.3636,28,28.0909,29.4615,27.6364,29,33.375,32.4,31.9091,31.4444,32,29.5,30,34.5833,34.2222,35.1667,35.1538,31.8182,31.7778,30.9167,31.6154,32.6429,34.3333,37,35,34.75,33.375,32,32.5455,30.3333,29.9231,31.9167,36.1818,33,30.9091,34.7778,39.3846,40.5833,39.2727,38,34.8889,35.75,36.8,37.5556,40.75,36.3846,39,41.0833,43.125,38.3333,34.8889,40.625,37.3889,35.5,35.7778,37.9167,40.1333,39.0588,47.1429,42.7273,36.8571,35.6923,37.0833,39.5
25.6842,24.75,30.4444,30.4167,28.625,33.7,34.5833,29,28.2308,29.2143,31.7857,31.875,28.8333,30.0714,35.0909,30.6154,32.2857,30.7778,29.5556,26,28.1,26.4615,30.5,28.5556,29.0714,29.2308,32.375,25.625,27.5714,30.4545,31.4286,27.9091,34.1429,39.8333,39.1818,30.3846,31.6,26.875,30.0625,28.0909,33.4615,32.5385,31.25,30.7333,34.4615,29,28.0833,33.3333,35.4,33.6667,33.8182,35.8571,31.3846,31.2667,32.7692,31.7333,32.8462,34.9091,34,31.5385,34.9,31.7,30.9091,35.0909,31.0769,30.7692,33.6667,33.8571,33.4444,29.8571,30,36.25,41.8889,38.2,39.3333,33.8182,33.6667,37.7273,35.6364,35.0769,40.5,42.25,41.3333,39.4,41.8571,38.7273,37.5,33.2,33.8462,33.5,34.1818,40.9,43.1429,44.6667,42,39.4444,35.2727,40.125,36.8333
24.9167,25.1667,29.5714,35.3125,30.3333,32.2222,31.6667,31.4167,28.5455,32,36.125,35.5,35.75,30.9333,37.5,30.0769,29.9167,30.7857,27.3077,26.1818,29.3846,28.3333,28.6154,27.6667,30.2,29.5,28.1,24,28.7,28.9375,27.5833,28.6,32.5,39.7222,36.6154,29.4286,29.75,27.5833,32.3,27.9333,34.7692,31.5,34.5,33,30.5455,26.5385,31.2857,33.3077,32.6364,36.8,36.9091,32.6667,32.7273,36.1111,33,35.3636,31.2857,31.1333,35.8462,32.2,37.3,33.1538,33.5455,34.5,33.4,32.8889,35.2,37,29.8571,29.0588,33.6667,36.2222,39.4286,39.4,37.6667,33.2727,36.1818,33.7778,36.7273,35.6364,35.1667,41.8889,41.8462,42.5455,41.4,37.9,38.3,35.0833,31.7143,33.2727,36.3636,41.7143,43.2,43.3,39.7,35.5833,36.9091,36.6923,39.5
29.2105,26.8125,29.6923,29.9375,34.7619,34.7273,31.75,37.1818,31.3333,31.5833,39.3,36.25,35.9091,33.8889,31.4286,29.9091,31.1429,30.5,34,24.6154,26,30.4167,26.7692,27.6364,27.6471,27.1818,24.2,22.7143,29.4545,28.3333,27.8462,28.2778,29.2857,39.0909,32.6667,30.9286,30.4545,28.4545,30.25,31.8333,33.8462,30.4,32.0588,33.4286,35.3636,28.3077,32.1538,34.5556,32.7692,37.8462,36.6923,33.9231,34.0909,37.8182,31.6364,33.8889,33.2,34.2,36.6667,37.6667,33.9286,33.5455,33.5556,36.7273,31.8333,31.4167,35.875,35.8462,33,31.5455,33.5714,36.2857,39.8333,41.0769,40.2,34.5385,32.3333,32.3571,37,37.75,35.6,40.1333,39.5833,40.25,40.5,38.7778,38.8182,32.7778,33.8333,33.2143,36.6667,41.1429,40.1818,46.6,43.3636,37.3,38.5385,37.5,40.3
28.1538,31.375,29.7143,29.0833,28,30.3077,32.4615,28.2727,30.8,31.1875,39.2308,31.55,30.3333,31.5625,32.2222,29.6,30.0667,30.6,30.5882,28.25,25.1875,30.2,27.7692,28.5,28,30.6,27.1111,26.4737,23.75,27.7778,28.1818,29.7273,28,34.3077,35.2353,32.8182,28.6471,27.2778,29.6,33.7273,33,33.0667,35.5556,35.7,33.8182,26.6364,32.4545,33.4545,31.0909,34.5,35,33.75,32.6667,34.25,30.2727,31.2857,29.6667,35.625,36.75,34.3125,41.1,38.875,35.75,37,33.3333,32.5556,32.5333,34.1,31.0667,30.8462,36,37.7692,40.4444,39.6667,40.2667,35.7778,34.2857,33.8125,37.7692,40.9167,40.6667,41.75,40.4545,40.3125,40.6667,41.2727,40.0833,33.5,32.25,31.5,35.1111,42.6667,42.2857,46.75,42.5833,42,39.25,39.5833,38.6
30.3077,25.5,31.6667,29,27.2,28.4615,33.1111,27.2308,25.8333,29.0714,31.913,31.4762,31.45,38.5,30.4286,28,31.3636,29.2,30.1667,27.3077,31.3,33,35.6364,26.3333,27.4545,34.9091,29,27.375,20.25,31.9167,27.9167,29.1429,28.8,34.3077,34.1667,33.6364,30.9,27.4167,30.3846,29.4444,34.1,29.8182,34.5294,31.2143,31.0667,28.3846,29.6923,33.5333,33.0909,35.5,34.6,30.4615,32.1875,36.0714,31.3077,32.1111,33,32.4444,35.5,35.0769,38,39.1667,38.9,43.5714,32.4545,31.6364,35.1818,34.8333,33.625,33.9167,37.625,40.7,37.9091,37.9,41.0909,34.0833,34.8667,33.9,40.4615,40.9167,37.8,40.0667,43.4167,40,41.5,41.4286,43.3636,35.8889,34.7143,31.3,39,39.6364,44.7,46.125,44.0909,41.3636,39.3636,39.3,37.75
27.0833,26.8333,28.2857,31.5,27.3333,31.4,34.25,28.1538,26.7857,28,29,26.0667,33.5238,36.8125,31.25,29.8,31.375,29.3846,31.75,26.1765,29.45,31.6316,28.5714,24.7273,31.25,36.5455,30.3846,29,24.2857,30.75,29.6,29.625,30.4545,33.3846,34.2,32.8,29.8125,27.8667,31,33.5,32,32.25,34.6667,37,31,30.1538,29.1667,30.2778,30.7895,34.8462,36.0833,31.0909,32.7333,36.75,29.4545,33.9333,35.4,35.2,35.0714,38.875,37.6429,39.7857,34.4286,37.7857,33.3077,31.3333,33.3636,32.7778,33.4667,31.5455,35.3333,37.2727,34.5385,39.6471,44.3333,34.2,34.5,35.25,40.3333,41.4167,38.2667,44,41.1,41.3333,42.4615,41.25,42.6364,39.4545,37.2727,36.5556,37.1538,39.1,47.2,46.3636,39.3333,38.6429,35.7143,40.3,37.8889
26.6,27.6154,28.8667,31.5385,30.0714,33.9333,28.2,30.1,29.2857,28.5,30,25.7778,32.7778,29.7273,30.125,28.5833,30.3333,28.5833,33.5385,29.5556,32.0909,33.3077,32,27.9231,32.1875,30.7273,34.5,32.1,24.7857,30,29.7222,28.8333,29.1667,35.5,36.875,29.9375,30.3333,28.5385,28.6154,28.9412,31.0909,34.625,38.2727,36.2727,32.6364,31.9091,29.4286,31.2857,33,36.1538,31.9412,29.5385,34.125,35,28.1429,35,33.3077,35.4,34,35.3,38.4286,37.6429,35.1429,37.125,30.625,31.8333,35,30,31.7778,32.9167,33.1765,33.7273,41.4167,41.5,39.8,34.6923,33.2308,33.2143,40.1818,41.8182,40.1,39.1538,44,42,43.6364,38.6364,39,34.25,33.7273,35.8182,35.0833,41.5,45.1111,42,36.6923,38.1,36,38.6364,35
