data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99
30,27.7692,31.2857,30.8125,32.4,37.9091,30.4545,31.0476,29.0588,29.75,29.1667,27.9286,31.1111,30.9444,30.4167,30.4,31.4286,31.3333,32.4545,28.75,29.3333,33.1538,27.1429,32.1818,30.5714,28.75,35.8333,30.5455,26.5455,29.2,28.9,30,27.5714,36,34.8571,31.5833,31.4286,29.1538,26.4375,29.1818,29.5385,32,32.1429,31.5714,31,30.8125,31.0909,27.8,34.4167,37.7143,31.0769,30.7059,29.5882,33.8947,31.6429,36,33.9,32.6,34.4545,31.8824,37.3571,35.8889,36.8333,36.7333,32.8125,31,34.1333,33.9,28.5714,33.4,38.4545,34.6,38.9286,34.6667,36.5833,38.2,32.7,33.2727,37.5385,37.6364,38.5385,39.7143,42,42.2222,39.5,43,40.3636,39.6667,35.1111,33.8333,35.8,42.4,41.3333,41.0833,36.9,37.9091,32.1538,35.3636,36.2222
29.5333,27,29.4545,29.9091,29.4,34.2143,33.8235,31.2222,30.3077,28,31.1875,31.3333,32.2143,30.25,26.2,25.8333,31.3158,28.6667,29.4118,27.7059,33,34.0833,23.6667,28.7647,31.9048,29.4286,33.1818,27.3636,26.4615,26.1818,30.7333,30.2667,26.625,35.2667,35.8824,33,33.6154,27.0833,31,27.3333,30.7692,33.25,33.3846,34.6923,34.4615,32.2667,28.6471,31.2143,32.2,40.2727,32.5714,32.6667,30.4706,30.5556,32.5,34.1538,33.9286,33.25,35.5455,33.8571,37.1429,36.3333,39.9167,39.5,30.0833,29.7143,33.8667,34,32.0909,37.3077,41.125,38.3333,42.2727,40.4,40.9333,36.8333,32.6429,36,38.1538,36.5,35.2857,39.5714,45.3333,42.75,41.9231,40.8333,40,37.6429,35.3125,37.0909,37.5,39.7273,41.1429,46.3333,38.5,34.1765,31.1429,36.0667,34.4286
30.6,25.6667,27.1429,29.1667,29.8125,32.9412,34.1429,34.5,29.0909,31.8571,32.7778,30.6667,34.75,28.9,28.3,22.7692,32.125,31.125,33.8889,26.9444,35.0667,32.1818,24.0909,29.65,31.8667,29.0833,30.9091,28.1111,29.2353,26.75,32.0625,29.2353,25.5625,34.375,35.1765,32.2,32.4,30.0769,31.6154,29.2,30.6,35.0714,33.0714,32.7692,33.0625,33,29.1667,29.9333,32.6667,35.4444,34.0769,37.3846,35.1111,29.3333,34.5,34.4667,38.5833,35.0667,34.3333,34.5882,36.9231,35.5,39.2,39,32.6364,32.3077,34.1,33.5714,36.5,35.2,39.8,39.75,38.125,42.5,37.1,34.4,34.5455,34.9231,35.4167,37.2222,33.9231,37.4375,40.0625,41.6154,44.8667,42,41.2,39.5833,37.1667,37,37.0909,38.6667,38.9231,45.2222,37.7273,32.25,31.2308,34.7692,33.6
24.6923,27.8462,29.4167,28.3529,28.9167,23,29.0833,31.5,37.2174,27.1111,26.6364,27,34.5714,32.125,35.9091,29.1111,29,31.2667,30.0667,28.3333,29.6923,29.9167,28.7333,30.3333,27.25,31.3529,32.8571,26.5714,30.625,25.9091,30.25,32.9,27.0909,32.8095,32.7222,36.8,30.4167,29,29.9412,26.7826,29.8571,34.2,31.8,30.619,29.875,30.1667,33.3,29.7143,36.2727,35.5714,33.6923,32.2857,38.1,31.8889,33.5455,35.8462,36.8333,34.5714,35.8462,34.5,41.9,38.2222,38.2857,34.2727,30.8182,32.75,33.25,39.3,36.2,27.5714,34.1,39,35.1,42.3077,37.4545,34.5455,33.5385,30.7143,37.4286,36.3333,35.2727,37,40.9167,39.8667,39.75,39.8333,41.6,37.6,38.3333,35.7,35.9,38,40.4,45.2222,37.4,36.1429,32,36.2857,34.9
28.2143,32.3333,29.8333,27.15,29.7692,26.0909,32.4,32.75,30.7857,25.2222,28.4444,32.9167,33.6875,32.8,30.4167,28.6429,31.4167,32,28.7273,27.2222,27.8667,31.3077,29.8462,29.5556,26.8333,30.6923,35.3333,27.8333,29.4615,26.4706,27.75,30.3125,29.5,32.5789,28.5556,34.4375,30.4,31.6,30.5455,23.8889,29,30.8824,28.7619,28.375,28.1111,29.3889,28.375,30.6154,32.7333,35.1,34,30.7143,29.9286,30.1429,34.5455,39.125,37.6667,34.6667,35.5,35.2857,35.7,38.6,37.4,35.0769,31.75,33.2308,35.4286,37.7692,34.2308,30.5556,33.9231,38.4,37.7273,39.1667,37.3333,33.1333,37.9167,33.8889,39.1429,38.2,36.5,37.8571,40.5333,41.0769,41.0833,43.9091,43.3333,36.6667,36.2727,37.1429,34.5,37,39.8824,45.1111,38.8667,34.9333,33.5385,35.6667,34.4667
25.0833,26.0833,30.4783,27.7778,30.1765,26.7333,29.4,30.5517,26.5833,26.3,29.6667,32.5,33.6667,31.9286,28.7692,35.7273,33.5833,28.3333,29.9167,28.8462,27.0909,29.0769,32.875,29.5,29.25,33.2667,31.4375,27.8333,26.8333,27.0769,27.2727,30.2667,32.4,31.3333,29.6667,33.4444,29.7,28.7692,30.5294,26.7,30.1765,30.1429,31.3889,29.1875,29.1667,30.3333,28.9167,30.875,32.2308,33.5385,33.0769,29.5333,30.0769,31.3636,30.0833,31.9412,34,33.2105,32.7333,32,35.5,31.9286,42,35.6,30.6154,32.5,35.4286,36.9,33.4286,31.2308,33.75,40.8667,38.4118,38.5833,36.625,35,35.9167,32.2308,37.0769,38.5,36.4286,36.8,43.625,39.6667,40.2857,42.0833,42.4444,37.0833,34.6667,37.5,39.7143,34.1333,39.2857,41.3333,38.6154,36,33.25,35.3846,34.4615
20.6154,23.9167,32.875,28.1667,29.4,28.9474,31.7778,31.2,24,30.25,31.7,29.5,28.8125,35.2857,30.2,32.875,28.6154,29.2222,33.3846,33.8462,25.7692,32.8462,31,29.1,30.6364,30.25,30.7,28.4545,29.1875,27.3636,28.381,27,34.0556,30.1818,30.8333,31.9167,30.9231,30.2308,28.0833,26.6154,29.1818,29.4444,31.1111,29.0769,30.1765,28.9167,28.4444,29.5,36.0909,34.3636,31.4615,29.8462,32.2222,32.9091,28.1538,32.1111,32.6,33.6667,33,34.3636,39,35.5455,38.6471,36.6471,31.7333,31.5294,31.9333,35.7857,31.3077,29.3846,32.1538,41.125,38.0833,42,37.7778,36.3636,34.6923,33.8333,42,39.9286,36.5455,39.5,40.3846,44,40.3333,41.75,41.8182,36.8889,36.25,33.875,35.5625,34.125,38.2,43.8333,38.6,34.5556,33.5,35,35.6667
23.4364,26.375,24.1111,25.4545,29.3125,33.125,30,25.4375,28.3158,33.4167,30.5455,34.5,32.1818,35.25,28.9091,37,30.1429,28.9167,32.3684,33,25.0769,33,32.875,27.25,28.1333,32,26.8333,28.6667,27,27.8,26.6667,27.4706,30.8235,30,31.6,32.6154,30.5,32.1875,30.7273,31,29.4286,31.4444,30.9286,28.6667,29.8333,29.5333,28.1905,32.6667,35.3333,33.1538,32.6364,29.9091,31.3333,29.4167,29.8182,31.3333,32.5455,35.6667,34.4545,37.2222,36.3077,36.75,36.4167,37.8,29.3333,33.1667,33.3125,36,30.8667,29.7857,32.7273,36.1667,40,39.7333,38.7273,35.4545,34.2857,34.8889,35.8824,34.7143,38.4,36.75,39.9167,38.0769,38.8,40.0833,40.7778,37.4,37.8571,33.8571,36.1429,40.1818,38.3333,41.5,38.1667,36.8182,33.3333,35.8889,36.1667
25.4375,29.875,21.625,28.375,29.2857,32.2222,30.75,28.8667,33,31.8462,34.2857,34.8125,30,30.5333,26.8,33.0526,28.9333,27.4,31.1765,29.3913,26.2308,29.75,34.625,26.375,25.3846,32.1667,32.3333,26.8462,28,28.9,28.4,29.0667,30.6,30.1111,31.6364,29.6923,28.5,35.5,29.4,32,30.5,31.5833,33,31.7778,26.7,28.9167,28.4444,32.25,34.3636,29.3636,33.3846,29.2308,30.6429,31.6,35.75,31.2,33,33.2,34.3333,32.9333,37,35.6471,40.9167,35.8462,29.4,30.8667,35,37.0769,30.1667,28.3,33.25,36.5833,40.2143,43.2,38.4,36.5263,32.9412,33.4091,34.5,36,37.9167,37.5,42.75,38.8333,42,41.0833,36.3125,35.75,34.5,36,33.5882,37.7273,40.125,42.6,37.4167,34.2308,32.7692,35.1667,36.5556
24.0909,31.0714,23.1818,28.4,30.0909,31.1667,31.3333,27.1,31.3333,28.1538,27.3846,36.4545,34.2727,29.6429,27.0714,31.2,27.8889,27.3333,32.8,32.1667,26.0833,28.9091,29,26.8,28.3333,32.3636,31.8,27.8,28.5833,29.8947,28.2857,30.3333,27,29.4167,32.2667,29.6923,31.0833,34,30.8889,30.6154,30.3571,31.6364,32.8667,30.5833,31,28.7692,28.4667,31.3333,32.5833,28.8462,37.2308,27.6923,30.1538,34.3077,31.8182,30.8333,32.3333,33.4615,31.5,31,33.3571,34,41,36.6667,28.3077,35.8,31.0833,35.4,31.3636,28.9167,33,37.5,40.6667,39,40.4167,37.2222,32,33.7778,36.2222,38.75,35.8182,36.0909,40.6667,40.25,40.1538,43.9,38.25,35.75,34.2857,36.25,33.9,40.25,39.3636,42.3333,36.7692,34.5833,32.3333,36.3636,38.4615
26.0769,25.7692,28,27.2,32.5833,30.5556,31.7333,28.0909,30.875,27.6875,29.8182,32.2857,36.375,28.5833,30,30.625,28.9167,25.0667,29.6667,26.5,26.75,27.8889,27,26.5,26.5,28.55,30.2222,26.1538,28.5,29.4286,27.625,33.0833,27.3333,30.7143,33.0667,31.8462,28.4615,34.7368,26.7333,31.6667,31.4615,32.4615,35.7,32.625,31.6875,32.5455,27.4,30.0714,33.6364,29.2727,38.9231,28.8182,29,33.0769,29.375,31,33.2222,33.6364,32.25,32.4615,34.7273,31.0909,35.8889,35.5,29.3333,32.6923,31.9167,35.875,31,31.8333,36.3571,36.75,39.9,39.9,43.5714,36.8,30,33.1111,36.0667,38.2667,34.6,35.4167,40.7,41.1,41.5833,43.9091,34.75,35.3333,33.5,34.2727,33.1818,39.5833,39.6667,41.4375,36,34.9231,30.7692,35.6429,37.5714
25.1111,25.5,27.9167,27.125,30.8889,31.8095,26.9167,28.1111,29.7391,27.9412,32.4375,31.7857,39.6429,30.3,29.5,30.8667,30.8182,28.9,27.8,24.1,28.625,28.4,29.3571,27.4286,28.4167,25.4,31,28,27,26.4444,28.8125,30.8571,26.4,31.75,34,32.2667,26.9375,35.0833,28.8571,32.5385,30.4667,31.6667,36.8333,31,32.2308,30.7273,29.5385,29.6667,29.6667,31.9167,40,27.3077,26.4286,31.4167,29.3,33.7333,30.3,37.9091,35.9167,32.6923,33.8182,30.1429,33.5455,35.1818,32.4,31.8182,30.9231,37.5,27.0625,28.7692,36.1,33.5833,36.3333,37.6667,42.7333,35.8333,31.5,35.3636,36.8333,40.8,34.6923,35.1,39.8333,41.4615,40.1,39.8462,34.9231,34.75,33.875,35.6,32.7273,40.5714,38.25,42.3333,37.0667,34.5714,32.4545,36.4286,38.3077
25.5333,26.625,35.8636,27.875,26.75,30,28.7333,30.0667,32.4615,28.2222,31.619,31.5294,31.6957,27.9444,30.5294,34.2727,32,26.5,28.2,24.3,28.0769,31.2,37.3333,30.9,29.8333,24.8462,36.5556,26.375,27.3846,25.6364,31.2143,28.6667,25.8571,33,35.125,35.0625,26.0833,30.5455,31.6923,30.25,28.3333,31.8333,33.5833,34.0714,33.6364,30.6154,27.5,30.8889,30.6364,34.25,35.4,28.5333,25.4286,33.6364,31.5,34.1,29,37.1,34.3077,29.6364,32.7059,31.4444,35.2727,37.625,30.25,32.7333,31.75,32.5385,28.7143,27.7778,34.8333,36.1667,35.9167,38.2,41.625,38.1,33.8571,35.2,38.5,38.6667,34,36.4444,43.2857,40.625,42.25,40.75,35.2,32.8,33.1333,33.6364,34.5714,35.1538,40.3333,44.6667,39.875,34,35.6667,38.3846,38.5
25.2857,23.2,32.2857,30.85,30.1667,28.1667,29.1111,31.7778,33.25,34.8667,27.8462,30.7778,32.9333,27.9231,32.3333,32.6,32.1429,32.6,30.8333,26.2727,32.2727,35.5333,35.5556,41,35.5,29.5714,30.5625,27.6923,26.7333,27.0833,28.3333,26.2,30.4615,38,35.3333,32.875,28.375,27.6,32.1333,32.5,28.0833,32.9412,32.8667,35.5,30.5,34.1053,28.5833,31.3125,32.7333,39.2727,33.4,29.6667,26,34.4667,28.6154,31.9231,31.3846,30.9412,35.2308,28.2,35.1667,33.8667,34.6364,34.6,35.4667,35.3333,34.9,32,30.2727,28.1667,35.4444,36.4444,39,44.1111,41.2,39,36.5556,36.1333,39.9231,38.0909,35.4167,37.5,42.9231,40.8,40.6,39.8,37.6364,33.7333,36.0833,35.2857,31.6875,35.6,39.1667,44.1667,36.8182,35.5833,30.5714,35.4167,39.9
22.5,30.5455,27.6,30.5882,31.7,28.0909,28.3077,32.8667,28.5,36.5833,28.5,33.9333,33,28.7059,31.3158,32.5385,39.5333,35.6667,37.5,36.125,35.1579,32.1111,30.4444,32.0833,30.4118,30.6154,23.2,28.1818,29.0769,29.8,26.625,29.125,36.1818,32.25,31.6429,31.2778,29.5833,27.5625,31.0833,30.6,30.6364,33.1429,35.1176,34.3333,30.6667,34.4,28.4667,30.7857,36.8667,38.2353,31.7,30.3333,27.6667,35.5625,29.2727,31.8182,33.7778,32.3333,34.5455,28.25,31.1333,33,32.1429,36.8182,35.1,31.25,31.5833,35.25,33.6667,31.1538,31.6364,38.5333,40.8,38.9286,42.0769,36.1765,40.1429,37.5,40.0909,38.1429,37.2857,38.6154,42.3333,39.5455,41.6,40.6667,39.0909,37.4,38.2,34.0667,31.5455,43.5,38.1111,46,39.3077,37.2727,31.6364,36.3333,38.4286
21.1667,25.7692,27.5385,25.4,22.7778,22.0909,30.7273,28.9333,31.5294,31.6667,30.2143,32.9375,28.5,30.6667,30,31.0833,31.9167,38.8182,36.4667,30.5385,29.25,33.0833,29.75,30,29.9333,36.7,23.5,29.1429,32.1667,33.1,30.9333,32,34.3333,30.8333,32.8667,31.9,27.6923,25.5556,31.2,29.5,26.8462,30.25,31.8,32.5,29.6667,33.3077,30.7,28.3333,32,38,32.6875,34,26.0769,40.4,27.5385,33.875,35,29.3636,34,30.4375,33.7778,34.2222,39.0833,39.6667,35.125,32.3333,35,34.9231,32.8333,27.8889,34.9091,38.4545,38.8182,38.1875,40.5625,38.6875,37.1333,35.5294,38.6364,38.7,36.6364,41.5385,45.3077,42.6667,40.2727,43.1111,40.7,36.5333,35.4167,35.4,30.6154,36.0769,37.8182,45.6667,39.1429,37.4286,32.0769,36.7143,36.1818
27.9286,28.4615,27.2727,26.7333,23.625,32.2667,28.8889,31.2,35.7778,27.9167,30.3529,35.5455,29.6429,33.7273,32.5,32.6667,29,31.7333,37.0667,31.3333,27.75,38.8,37,26.3077,28.6,33.55,23.4286,30.2308,31.3,33.1667,27.2,32.5833,36.75,29.8667,36.1,32.1818,27.7273,24.75,28,30.1667,29.125,31.5385,32.4444,29.5,30.4667,30.1818,32.6154,28.8,30.0833,37.2222,32.5,29.7857,28.8182,38.4167,27.8824,34.3333,34.9412,34,35,38.6,33.6667,34.7778,41.1667,40.3333,34.0667,34.9167,31,34.8333,31.1,29.8182,33.7333,40.5,40.2727,37.8333,41.8333,39.625,33.3077,34.1111,39.3,42.5455,35.9286,43.7,43.1538,43.9286,39.8182,40.5,43.1667,38.8889,35.6667,34.5,31.5,34.7,39.6667,41.1667,37.5,34.3571,34.5,38.7333,36.9286
32.25,31,28.9091,34.4,35.5,41.875,28.75,28.25,34.8,32.8571,31.625,36.2308,30.7,31.1429,35.5833,32.5333,29.2222,38.6667,35.25,30.1667,32.3125,38,39.75,26.4167,27.8333,32.1667,25.6667,30.2857,30.4375,31.6154,27.75,28,36.8824,30.5,33.5,34.1176,29.6154,25.9231,27,29.9167,29,33.2727,32.1538,32.8182,29.9231,32.7895,33.3571,28.0909,32,34,27.25,28.8333,31.8182,33.125,30,33.4286,35.6667,35,34.2,34.4,34,36.9167,38.9167,37.1333,34.7,32.8333,34.5,37.5,28.875,32.3889,33.2667,36.5556,37.0714,40.9,40.6667,36.6154,32.2,35.0833,36.0625,37.75,40.0833,42.4,44.4,44.3,36.6364,42.1,42.1429,40.5556,39.7778,33.3333,36.0909,31.7857,38.1,40.8571,38.1538,34.1667,32.8571,38,34.2222
25.7419,28.8261,31.4211,30.2727,35.5,35.3077,25.5,28.8462,35.4444,30.3125,32.5385,28.7273,28.5714,31.7,33.2667,32.1,28.6429,35.1538,30.4,30.0714,34.875,38,41.2,33.4615,29.5833,30.6429,27.6364,33.9091,27.8571,33.6667,29.0833,29.5333,35.0833,32.7857,31.8,34.2143,30.4,28.3571,29.2222,30.6154,29.2143,31.3125,36.1765,34.6154,31.1538,28.2222,32.7647,27.3333,32.8333,35,29.25,29.8,30.2,32.3333,31.2,31.6364,34.2,35.2,34,34.25,32.7778,35.4,37.9,33.8,32,29.8889,33.5455,34.6875,32.1667,35.8,35.6,34.5,38.5833,40.3636,40.5,37.5,31.4615,38.25,36.5,34.1818,38.8571,37.6667,46.25,42,36.25,38.6471,42.1429,40.75,34.7778,32.0909,33.7,31.6364,38.625,34.8182,41.3,32.5556,31.3333,36.5833,37.6364
24.8125,28.4,36.9167,31.2857,32.0769,30.4444,28,30.4667,34.3333,31.1,39.4444,35.6667,28.5,26.75,31.4667,31.6923,29.4,31.4167,30.2308,31.7143,34.3636,33.5294,36.7222,34.3077,27.9375,29.2727,29.0714,35.7143,27.6667,34.5833,31.9286,36.0833,34.5385,30.3333,30.6667,33,32.625,27.3333,27.6923,29.25,27.8182,29.9167,38.0833,33.8667,33.7692,28.7778,32.2222,36.1667,33.3,35.8,30.1538,27.8462,33.3,31.5,30.6667,31.875,33.6667,35.4615,34,34.5833,33.9,31.9231,36.3333,35,30.5,27.9167,33.9,31.5,33.6,29.9231,34.9167,38.4,37.1667,39,37.8182,34.0909,31.6364,38.3571,38.7,35.0714,35.9091,38.9,41.1,39.8182,39.4545,39,40.9333,33.2143,34.2143,29.5455,35,28.2,32.6364,33.4167,38.75,30.25,31.6923,38.7,40.5
27,24.75,34.75,34.2667,34,30.7857,26.9231,31.1667,34,35.3333,37,33.9,32.1,24.4444,30.1667,29.8,28.5833,33,31.1333,29.9333,27.2727,25.4,38.3125,30.5,26.9167,29.875,28.1667,30.8,27,30.5,35.5333,32.7333,35.8889,35.8,26.2222,33.625,32.3684,27.0526,27.2667,29.7143,28.1905,28.7692,32.7222,31.9375,33.2667,29.6,29.5,34.7333,32.875,33.0833,34,29.0556,32.0667,31.3846,28.9231,30.4167,32.6667,35.2222,34.9167,33.75,31.8182,31.3333,34.8333,35.875,31,30.3636,35.3636,32.5833,34.9231,29.75,33.5,37.6667,36.9231,39.0833,40.4615,36.4545,34.1818,35.8571,37.6667,38.1429,34.4167,38.6154,38.6154,42.5833,39.75,38.75,42.3846,33.6429,34.8182,29,33.4444,28.2941,34.625,31.1667,39.9,34.4444,30.5,37.7333,39.9286
24.9375,21.8889,38.5833,35.3333,35.25,32.75,27.6364,29.4167,33.9286,35.6923,36.4545,34.375,33.6667,24.9,31.7778,28.75,28.0769,34.4167,32.4167,25.6,28.75,28.5625,33.4167,31,29.1538,27,27.6667,27.4545,28.7857,28.6667,34.3333,30.8333,32.7,38.7,29.5,33.3333,33.2222,29.6667,27,32.7,28.8889,27.5263,33.1667,31.8333,36.7,29.9167,27.625,31.2667,32.9167,36.3,32.4545,29.2222,33.5882,32.8462,29.7273,31.6667,31.4667,31.9167,34.7778,34.9,30.1667,30,36.3333,35,30.8,31.2143,34.9091,34.2,33.7143,27.5833,35.1429,39,36,42.25,41.8571,38.375,32.3,36.4545,34.4167,35.1333,37.3,38.4286,38.9231,39.5556,44.3636,41.4,41.5,32.8889,34.6667,30,29.6667,27.0909,32.6667,29.1429,38.9,33.6,29.5556,37.8889,35.9167
25.4545,24.1,31.5,32.4167,33,29.2857,31.1333,28.75,36.1,36.6364,38.4615,31.2143,34.1667,27.75,28.8889,30.4,29.5,37.5,31.3333,27.4545,31.8182,28.875,31.2222,30.2308,28.9286,26.3333,27.7778,28.6364,28,27,31.75,29.6,32.8333,36.7692,33.0667,30.1667,32.2857,32.3077,28.7333,29.8333,29.8571,28.5556,32,34,36.8947,28.1053,29.625,32.3333,31.6,36.0769,33.0714,32.6923,33.5556,32.6667,28.4,31.2857,31.7273,29.8571,32.3571,34.5,30.8,32.4545,36.8889,35.3077,33.5455,30.75,35.5833,33.9286,34.5,27.9,36.6923,37.3125,39.0909,40.3333,40,35.4706,33.5714,37.25,39.3077,32.0833,37.5833,39.625,37.9,40.2857,42.2,38.625,35.625,37.7143,35.1818,30.25,30.8462,25.1667,31.9,28.3636,40.1538,38.8182,29.0769,34.9091,37.3
26.1111,27.1667,28.8,30.6923,33.5556,29.75,30.125,31.0909,38.1818,34.9231,33.0833,34,31.625,31,25.3333,30.9474,28.8333,31.5455,29,30.4706,28.5294,31,30.9375,30.25,30.1429,24.8571,28.3333,28.6667,24.5333,28.5833,31.75,31.5,38.75,37.8462,37.5385,30.4,33.3333,30.0833,31,31.8,31,29.8333,34.7333,30.3333,42.6,25.75,33.0833,32.0714,30.8182,36.5714,34.2,33.0556,31.8333,33.9167,29.7,32.8182,31,29,29.6667,31.3846,32.6154,37,37,35.8333,33.8462,29.7143,34.9231,32.7778,31.1667,31.2857,37.8,37.6667,39.9286,38.4667,39.4167,37,35.3333,37.875,37.1538,32.7143,34.0714,41.0588,38.0769,42.7647,42.6875,42.6667,35.4,36.8667,33.0769,29.1111,29.8333,24.6,29.9167,29.5,42.4286,38.8333,31.7,37.5,39.6667
22.2,28.4545,28,30,29.3333,29.3846,28.5455,29.6154,32.8182,33.6364,31.5333,34.7778,34.8333,34.1538,28.0667,32.6,27.8125,33.0909,32.3889,32.7692,34.3571,29.6154,30.6667,29.4667,28.1333,22.25,32.375,26.2222,25.0769,31.2,31.4,38.3571,37.5833,38.7273,37.6364,31,31.2222,30.1176,33.0769,30,30.4286,30.6923,35.3846,30.5,34.125,26.4667,30.6667,34,33.4,37.5833,37.0556,35.6,28.4167,32.6,27.4545,32.3333,30.0833,30.4444,32.0625,30.6923,31.8333,36.8571,33.1429,38.375,33.3,29.0769,36.1111,32.6154,30.9167,31.7857,35.4167,37.9091,40.1,39.0909,36.5385,34.1538,34.9375,33.7778,32,34.9231,34,38.5556,41.4615,36.9,45.2857,42.5714,37.6923,36.7,33.2222,29.7,29.9167,22.5833,28.875,28.2727,37.5714,35.8571,30,39.5714,37.6667
23.1429,32.4615,26.7692,28.7778,30.375,30.5385,29.6,31.4167,34.25,30.5625,33.4615,35.8333,36,36.1429,27.7,30.0769,27.6667,33.1875,30.9,29.5455,37.1,35,27.8125,28.4545,31.25,19.0833,32.75,26.7692,31.6667,32.0909,34.4545,32.75,39.1818,37.9231,37.7692,35.8182,31.8667,26.8,32.75,31.75,33.3333,32.8889,32.6,34.1,33.2,27.0833,30.4667,32.6,29.3077,34.4615,33.8333,34.3077,27.6667,35.0833,31.0909,32.9167,29.4,29.6923,32.5556,29,32.5,34.5,38.4286,35.2143,36.125,30.4286,33.0833,35.5833,30.6667,29.4,37.1111,39,35.5385,37.5,36.8571,32.8824,34,31.3077,34.4545,36.4167,35.8571,37.2308,40.7273,39.3333,39.9231,37,37.3,34.9,32.2222,29.4545,30.375,19.8333,30.5,25.3571,39.5455,39.2222,29.2727,40.1538,37
24.9091,28.8333,25.8333,28.3846,30.8462,30.2,30.6154,32.9167,32.0714,29.1667,34.0909,33.4211,35.25,35.5455,31.25,28.1818,30.6667,29.8333,30,30.6154,35.8462,33.8462,31.125,28.75,34,17.6667,30.3636,25.6,33.9167,29.0769,33.9231,36.5,36.8182,36.7273,38.4615,37.2308,34.3,27.4,29.6923,34.3636,29.25,32.5385,32.7222,32.4286,34.3636,31.5455,32.8889,33,32.1111,32.3,29.6429,29.2143,28.4444,32.4167,30.4615,32.25,31.5556,29.1,35.1818,29.6364,33.5556,33.7143,37.4,36,35.2667,27.75,33.7,37,33,30,40.0909,39.6364,38.4444,39.2727,34.4615,33.5,31.0667,34,37.0909,35,33.9167,34.5556,40.25,37.5,40.125,37.75,35.5833,34.75,33.5,29.625,29.9231,20.5,31.6667,31.4444,34.3571,35.7692,29.5,37.3,35.9
25.0714,28.7273,24.9231,28.9,29.4167,29.2222,34,31.9333,30,29.2857,31.9412,33.4167,29.75,32.5833,27.75,26.8182,31,30.4,31.75,34.5,30.6667,37.4615,35.9,31.6,34,16.7,27.9167,24.7,31.2727,28,32.1667,30.6,35.2,36.1667,36.25,32.8333,33.75,29.2,27.25,31.1538,28.5455,32.2727,37.1,38,32.7273,31.1538,28.5833,31.0833,31.1667,31.8182,29,29,28.8,30.9091,31.7273,32.2727,29.0909,31.4444,37.2222,26.8333,34.4615,32.0833,36.3,35.5455,34.6,27.6364,34.6667,33.5556,30.6,31.5,34.0909,34.5455,37,37.4444,33.6364,30.1111,30.8889,33.8889,37.2727,33,33,31.8889,39.0909,36.5455,41.6364,39.4444,32.6667,34.6667,37.3333,32.1818,31.8,20.5,36.1111,29.6667,33.4444,33.2,28.5455,35,33.8182
27.25,31.625,27.3333,27.8333,28.4,29.5,33.5714,32.25,34,30.5714,34.375,32.2857,30.9,35.5,30,27.8333,27.6,28.5,27.7143,30.625,30.125,30.125,30.7,29.875,35.1429,16.25,26.5,25.25,29.8333,34,30.4,29,33.6,35.3,30.8,35.7143,29.1,28.625,28.25,27.875,24.125,27.625,33.8182,32.75,30.5714,30.375,27.1429,30.4286,34.5714,29.7143,26.3333,26,24.875,29.25,30,32,31,31,33,25,35.5,32.9,32.8182,33.5,34,28.75,30.5,30.9,29.75,30.125,31.5,32.875,34,33.6,33.875,30.625,30.5,33.1,35.3333,32.4,29,27.625,42.5,34.5,42.8,39.8333,37.3333,37,38.3333,31.1667,28.875,21.6667,39.6,30.1111,33.375,33.25,30.875,40.625,36.3333
