"","Time1","Time2","Time3","Time4","Time5","Time6","Time7","Time8","Time9","Time10","Time11","Time12","Time13","Time14","Time15","Time16","Time17","Time18","Time19","Time20","Time21","Time22","Time23","Time24","Time25","Time26","Time27","Time28","Time29","Time30","Time31","Time32","Time33","Time34","Time35","Time36","Time37","Time38","Time39","Time40","Time41","Time42","Time43","Time44","Time45","Time46","Time47","Time48","Time49","Time50","Time51","Time52","Time53","Time54","Time55","Time56","Time57","Time58","Time59","Time60","Time61","Time62","Time63","Time64","Time65","Time66","Time67","Time68","Time69","Time70","Time71","Time72","Time73","Time74","Time75","Time76","Time77","Time78","Time79","Time80","Time81","Time82","Time83","Time84","Time85","Time86","Time87","Time88","Time89","Time90","Time91","Time92","Time93","Time94","Time95","Time96","Time97","Time98","Time99","Time100"
"12","24.4000","27.3077","28.5000","29.7692","27.5000","28.5833","33.5385","29.8571","28.3333","27.3636","26.0000","29.8000","31.8182","33.1765","34.3158","33.9286","32.0000","33.2308","29.2000","27.3846","27.5833","26.8333","27.4667","31.3000","33.3333","34.5000","27.7000","29.0769","27.1538","27.3750","33.3333","29.8235","32.9333","40.0000","33.2000","32.4000","29.1429","28.2143","28.5385","32.2500","33.2500","36.4167","32.1000","30.6923","31.8889","29.5789","31.6522","34.1429","37.6000","39.6000","35.7500","34.3000","32.5455","34.2857","31.9333","31.8667","36.8182","35.5385","36.3636","34.0000","35.1538","34.7500","37.6667","37.3810","34.2500","32.7692","38.8182","35.6923","34.5000","35.1818","40.0000","39.2727","37.5000","37.5714","37.4000","35.0909","39.1667","35.9286","37.1667","39.5000","37.2500","40.0833","41.8571","39.9167","39.4000","38.2727","37.0000","33.6667","34.1250","35.6000","34.2500","38.5833","40.5000","43.9091","39.8182","36.2500","32.9286","36.2308","38.4545","35.6364"
"13","25.5714","27.7500","28.5833","31.3333","31.0625","30.0000","30.9091","31.3333","28.7500","25.9000","25.5385","29.3636","29.7692","32.1667","31.7500","30.8333","35.1000","33.1429","28.4167","28.2000","25.1538","24.0769","28.8333","31.0000","31.1538","30.6875","31.4615","28.0000","28.6250","26.5833","31.5185","30.6154","35.0769","35.7692","35.3077","32.9167","29.4167","28.7500","28.9091","26.5385","27.5385","31.8750","35.0909","28.4545","31.5000","32.8462","31.2308","32.7647","35.4706","35.4737","33.5385","31.6667","27.5000","30.4615","30.2727","32.2222","33.8889","32.4000","34.6000","37.2727","35.3846","33.5833","33.8750","35.7500","34.4545","33.5000","33.3333","34.7500","36.2353","30.0714","38.0556","42.2857","38.1667","36.0435","35.3158","33.2778","39.6667","36.8824","39.2222","39.5714","36.3571","36.3500","41.7143","40.1000","38.2857","38.7222","39.3333","38.0000","36.4167","36.3077","36.7692","38.1250","37.2222","44.4286","39.7143","38.5000","36.1429","35.8667","38.4615","33.6000"
"14","26.8182","27.2000","29.0667","30.9286","32.0000","31.2308","30.0714","30.3125","33.6875","26.8235","27.7500","29.9231","27.9091","31.3333","31.2000","35.0769","33.7333","26.2857","31.5385","27.8000","27.5000","28.5833","29.2308","28.9167","28.3333","30.7692","29.8182","25.5000","28.6667","28.0500","29.8182","27.8462","32.0909","35.9091","37.3846","33.3636","28.0000","28.0909","29.4615","27.6364","29.0000","33.3750","32.4000","31.9091","31.4444","32.0000","29.5000","30.0000","34.5833","34.2222","35.1667","35.1538","31.8182","31.7778","30.9167","31.6154","32.6429","34.3333","37.0000","35.0000","34.7500","33.3750","32.0000","32.5455","30.3333","29.9231","31.9167","36.1818","33.0000","30.9091","34.7778","39.3846","40.5833","39.2727","38.0000","34.8889","35.7500","36.8000","37.5556","40.7500","36.3846","39.0000","41.0833","43.1250","38.3333","34.8889","40.6250","37.3889","35.5000","35.7778","37.9167","40.1333","39.0588","47.1429","42.7273","36.8571","35.6923","37.0833","39.5000","35.6667"
"15","25.6842","24.7500","30.4444","30.4167","28.6250","33.7000","34.5833","29.0000","28.2308","29.2143","31.7857","31.8750","28.8333","30.0714","35.0909","30.6154","32.2857","30.7778","29.5556","26.0000","28.1000","26.4615","30.5000","28.5556","29.0714","29.2308","32.3750","25.6250","27.5714","30.4545","31.4286","27.9091","34.1429","39.8333","39.1818","30.3846","31.6000","26.8750","30.0625","28.0909","33.4615","32.5385","31.2500","30.7333","34.4615","29.0000","28.0833","33.3333","35.4000","33.6667","33.8182","35.8571","31.3846","31.2667","32.7692","31.7333","32.8462","34.9091","34.0000","31.5385","34.9000","31.7000","30.9091","35.0909","31.0769","30.7692","33.6667","33.8571","33.4444","29.8571","30.0000","36.2500","41.8889","38.2000","39.3333","33.8182","33.6667","37.7273","35.6364","35.0769","40.5000","42.2500","41.3333","39.4000","41.8571","38.7273","37.5000","33.2000","33.8462","33.5000","34.1818","40.9000","43.1429","44.6667","42.0000","39.4444","35.2727","40.1250","36.8333","36.3750"
"16","24.9167","25.1667","29.5714","35.3125","30.3333","32.2222","31.6667","31.4167","28.5455","32.0000","36.1250","35.5000","35.7500","30.9333","37.5000","30.0769","29.9167","30.7857","27.3077","26.1818","29.3846","28.3333","28.6154","27.6667","30.2000","29.5000","28.1000","24.0000","28.7000","28.9375","27.5833","28.6000","32.5000","39.7222","36.6154","29.4286","29.7500","27.5833","32.3000","27.9333","34.7692","31.5000","34.5000","33.0000","30.5455","26.5385","31.2857","33.3077","32.6364","36.8000","36.9091","32.6667","32.7273","36.1111","33.0000","35.3636","31.2857","31.1333","35.8462","32.2000","37.3000","33.1538","33.5455","34.5000","33.4000","32.8889","35.2000","37.0000","29.8571","29.0588","33.6667","36.2222","39.4286","39.4000","37.6667","33.2727","36.1818","33.7778","36.7273","35.6364","35.1667","41.8889","41.8462","42.5455","41.4000","37.9000","38.3000","35.0833","31.7143","33.2727","36.3636","41.7143","43.2000","43.3000","39.7000","35.5833","36.9091","36.6923","39.5000","38.4000"
"17","29.2105","26.8125","29.6923","29.9375","34.7619","34.7273","31.7500","37.1818","31.3333","31.5833","39.3000","36.2500","35.9091","33.8889","31.4286","29.9091","31.1429","30.5000","34.0000","24.6154","26.0000","30.4167","26.7692","27.6364","27.6471","27.1818","24.2000","22.7143","29.4545","28.3333","27.8462","28.2778","29.2857","39.0909","32.6667","30.9286","30.4545","28.4545","30.2500","31.8333","33.8462","30.4000","32.0588","33.4286","35.3636","28.3077","32.1538","34.5556","32.7692","37.8462","36.6923","33.9231","34.0909","37.8182","31.6364","33.8889","33.2000","34.2000","36.6667","37.6667","33.9286","33.5455","33.5556","36.7273","31.8333","31.4167","35.8750","35.8462","33.0000","31.5455","33.5714","36.2857","39.8333","41.0769","40.2000","34.5385","32.3333","32.3571","37.0000","37.7500","35.6000","40.1333","39.5833","40.2500","40.5000","38.7778","38.8182","32.7778","33.8333","33.2143","36.6667","41.1429","40.1818","46.6000","43.3636","37.3000","38.5385","37.5000","40.3000","38.1538"
"18","28.1538","31.3750","29.7143","29.0833","28.0000","30.3077","32.4615","28.2727","30.8000","31.1875","39.2308","31.5500","30.3333","31.5625","32.2222","29.6000","30.0667","30.6000","30.5882","28.2500","25.1875","30.2000","27.7692","28.5000","28.0000","30.6000","27.1111","26.4737","23.7500","27.7778","28.1818","29.7273","28.0000","34.3077","35.2353","32.8182","28.6471","27.2778","29.6000","33.7273","33.0000","33.0667","35.5556","35.7000","33.8182","26.6364","32.4545","33.4545","31.0909","34.5000","35.0000","33.7500","32.6667","34.2500","30.2727","31.2857","29.6667","35.6250","36.7500","34.3125","41.1000","38.8750","35.7500","37.0000","33.3333","32.5556","32.5333","34.1000","31.0667","30.8462","36.0000","37.7692","40.4444","39.6667","40.2667","35.7778","34.2857","33.8125","37.7692","40.9167","40.6667","41.7500","40.4545","40.3125","40.6667","41.2727","40.0833","33.5000","32.2500","31.5000","35.1111","42.6667","42.2857","46.7500","42.5833","42.0000","39.2500","39.5833","38.6000","36.9231"
"19","30.3077","25.5000","31.6667","29.0000","27.2000","28.4615","33.1111","27.2308","25.8333","29.0714","31.9130","31.4762","31.4500","38.5000","30.4286","28.0000","31.3636","29.2000","30.1667","27.3077","31.3000","33.0000","35.6364","26.3333","27.4545","34.9091","29.0000","27.3750","20.2500","31.9167","27.9167","29.1429","28.8000","34.3077","34.1667","33.6364","30.9000","27.4167","30.3846","29.4444","34.1000","29.8182","34.5294","31.2143","31.0667","28.3846","29.6923","33.5333","33.0909","35.5000","34.6000","30.4615","32.1875","36.0714","31.3077","32.1111","33.0000","32.4444","35.5000","35.0769","38.0000","39.1667","38.9000","43.5714","32.4545","31.6364","35.1818","34.8333","33.6250","33.9167","37.6250","40.7000","37.9091","37.9000","41.0909","34.0833","34.8667","33.9000","40.4615","40.9167","37.8000","40.0667","43.4167","40.0000","41.5000","41.4286","43.3636","35.8889","34.7143","31.3000","39.0000","39.6364","44.7000","46.1250","44.0909","41.3636","39.3636","39.3000","37.7500","36.2857"
"20","27.0833","26.8333","28.2857","31.5000","27.3333","31.4000","34.2500","28.1538","26.7857","28.0000","29.0000","26.0667","33.5238","36.8125","31.2500","29.8000","31.3750","29.3846","31.7500","26.1765","29.4500","31.6316","28.5714","24.7273","31.2500","36.5455","30.3846","29.0000","24.2857","30.7500","29.6000","29.6250","30.4545","33.3846","34.2000","32.8000","29.8125","27.8667","31.0000","33.5000","32.0000","32.2500","34.6667","37.0000","31.0000","30.1538","29.1667","30.2778","30.7895","34.8462","36.0833","31.0909","32.7333","36.7500","29.4545","33.9333","35.4000","35.2000","35.0714","38.8750","37.6429","39.7857","34.4286","37.7857","33.3077","31.3333","33.3636","32.7778","33.4667","31.5455","35.3333","37.2727","34.5385","39.6471","44.3333","34.2000","34.5000","35.2500","40.3333","41.4167","38.2667","44.0000","41.1000","41.3333","42.4615","41.2500","42.6364","39.4545","37.2727","36.5556","37.1538","39.1000","47.2000","46.3636","39.3333","38.6429","35.7143","40.3000","37.8889","32.8571"
"21","26.6000","27.6154","28.8667","31.5385","30.0714","33.9333","28.2000","30.1000","29.2857","28.5000","30.0000","25.7778","32.7778","29.7273","30.1250","28.5833","30.3333","28.5833","33.5385","29.5556","32.0909","33.3077","32.0000","27.9231","32.1875","30.7273","34.5000","32.1000","24.7857","30.0000","29.7222","28.8333","29.1667","35.5000","36.8750","29.9375","30.3333","28.5385","28.6154","28.9412","31.0909","34.6250","38.2727","36.2727","32.6364","31.9091","29.4286","31.2857","33.0000","36.1538","31.9412","29.5385","34.1250","35.0000","28.1429","35.0000","33.3077","35.4000","34.0000","35.3000","38.4286","37.6429","35.1429","37.1250","30.6250","31.8333","35.0000","30.0000","31.7778","32.9167","33.1765","33.7273","41.4167","41.5000","39.8000","34.6923","33.2308","33.2143","40.1818","41.8182","40.1000","39.1538","44.0000","42.0000","43.6364","38.6364","39.0000","34.2500","33.7273","35.8182","35.0833","41.5000","45.1111","42.0000","36.6923","38.1000","36.0000","38.6364","35.0000","33.9091"
