"val(:,:,1) =",,,,,,,,,
27.3077,33.0000,35.1429,31.0000,31.5625,35.3333,37.1875,37.6364,44.8000,49.4000
27.7500,31.7143,30.5000,30.5909,32.4348,37.9130,39.1071,42.9000,46.2143,49.7879
27.2000,34.2308,32.8750,32.4000,33.2500,43.5000,NaN,45.0000,NaN,NaN
24.7500,31.4118,30.5556,30.8696,31.9231,40.1154,40.8788,44.4848,45.8438,50.9744
25.1667,30.8000,29.5385,28.8889,32.5556,36.6000,40.6471,42.4000,51.7273,57.1667
26.8125,33.0000,32.7500,29.1429,30.0000,32.5000,39.0000,43.0000,55.0000,NaN
31.3750,35.4211,32.9583,32.7879,36.7000,41.6585,45.9600,50.4706,55.3333,61.7903
25.5000,36.6154,34.0000,35.3333,36.5000,37.0000,40.0000,51.0000,NaN,NaN
26.8333,39.0833,33.1000,33.0909,38.2222,43.7143,47.6667,47.6000,55.0000,56.5000
27.6154,36.0000,35.5714,32.8667,42.5333,43.0000,46.0000,48.6000,51.9000,57.7000
27.7692,35.7143,41.0000,35.1000,41.8750,39.0000,46.0000,NaN,NaN,NaN
27.0000,41.4286,44.7000,37.8571,38.7500,39.5000,42.0000,NaN,NaN,NaN
25.6667,49.2000,48.0625,38.6471,40.7222,43.8889,44.5263,47.7500,51.1333,56.3636
27.8462,53.9333,46.5000,38.6000,40.5385,46.1667,44.5833,45.6364,48.9000,56.5000
32.3333,55.5000,44.2000,41.3333,36.5000,39.0000,NaN,NaN,NaN,NaN
26.0833,50.4706,49.7368,43.2500,39.9545,42.8095,43.6522,43.6818,49.6667,61.6957
23.9167,42.2000,53.1875,46.0000,44.8889,45.1111,42.7500,48.6000,57.2273,61.7727
26.3750,48.0526,69.0833,47.7059,45.6585,41.3500,43.1250,48.8298,55.0000,61.1224
29.8750,50.6154,70.6250,61.4286,48.0000,NaN,NaN,NaN,NaN,NaN
31.0714,53.0833,73.8333,71.6667,45.0000,NaN,NaN,NaN,NaN,NaN
25.7692,51.2000,73.8571,66.3333,NaN,NaN,NaN,NaN,NaN,NaN
25.5000,57.3333,71.1250,62.7333,45.6154,45.6250,41.5000,NaN,NaN,NaN
26.6250,41.5333,58.5000,58.5714,42.6667,42.1538,43.7273,49.1250,53.0000,53.0000
23.2000,35.9333,48.4211,51.3636,41.0385,37.5000,42.0000,49.4444,50.1579,53.8571
30.5455,39.4706,51.3636,49.7143,39.2647,35.1515,38.8235,42.0667,45.9231,52.7391
25.7692,36.9333,45.3333,51.6000,42.8571,32.0000,NaN,NaN,NaN,NaN
28.4615,32.8667,49.2727,61.0000,NaN,NaN,NaN,NaN,NaN,NaN
31.0000,42.0000,49.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.8261,43.1429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.4000,42.6000,57.1538,59.3333,NaN,NaN,NaN,NaN,NaN,NaN
24.7500,44.7222,54.0870,56.8214,46.4400,36.1905,35.2000,42.1000,44.8571,NaN
21.8889,41.1875,44.0000,47.2083,36.4815,33.3750,36.4444,42.7750,43.1591,48.5106
24.1000,41.8667,41.7647,34.6842,32.9048,33.8182,35.6800,39.9630,43.1111,44.5312
27.1667,40.2500,42.2000,33.9375,37.0000,33.7222,35.9048,37.1364,37.4783,37.2083
28.4545,36.4118,40.5909,35.4286,32.7941,32.7222,34.8125,36.1818,35.4286,33.0000
32.4615,36.2667,40.9167,43.0667,41.4667,36.2500,NaN,NaN,NaN,NaN
28.8333,37.5333,40.1429,39.5000,40.3333,NaN,NaN,NaN,NaN,NaN
28.7273,35.5238,36.0400,37.1429,NaN,NaN,NaN,NaN,NaN,NaN
31.6250,35.1818,32.3000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"val(:,:,3) =",,,,,,,,,
30.2500,29.4000,27.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.4286,30.3636,30.9000,33.1429,36.0000,NaN,NaN,NaN,NaN,NaN
33.4000,39.3750,31.5625,33.5714,35.3000,40.0000,NaN,NaN,NaN,NaN
30.9286,40.1667,38.0000,34.2500,NaN,NaN,NaN,NaN,NaN,NaN
30.1333,36.0769,42.6250,40.5000,32.0000,36.0000,NaN,NaN,NaN,NaN
29.0000,38.1765,36.1200,34.5405,36.4500,42.1944,41.4286,47.0000,NaN,NaN
29.0000,42.4167,37.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.5000,39.2000,35.2000,31.3125,36.4000,43.4000,41.7500,47.1111,46.0000,NaN
30.5000,39.0000,33.6923,31.8000,34.4667,37.9167,39.0000,43.4667,47.0769,53.5000
31.4545,35.5294,32.5000,31.2308,34.9667,38.7000,41.0000,46.5238,49.1190,52.0392
28.5000,35.0000,33.4375,31.2353,34.5000,41.5263,44.6500,43.8095,44.9091,51.3043
28.5833,35.3333,34.3846,33.0000,33.0000,35.0000,41.8333,42.2500,40.8182,51.4545
29.0667,32.6875,36.4118,31.1765,33.0000,36.1667,38.7000,41.3333,43.3333,54.5000
30.4444,35.0833,34.0000,31.0000,NaN,NaN,NaN,NaN,NaN,NaN
29.5714,35.8333,34.9231,33.6667,33.3000,33.2000,36.0000,44.0000,47.0000,NaN
29.6923,33.4667,37.2500,34.4667,33.2000,34.9231,37.1333,41.6923,41.8889,53.1111
29.7143,32.6667,38.5385,35.2000,34.6429,36.3636,38.1538,45.2308,47.5455,56.2857
31.6667,32.2941,38.1667,35.5652,34.2593,35.7308,41.6250,45.4412,50.5455,55.9189
28.2857,32.7333,37.3571,39.1176,34.1667,36.0667,41.8000,43.9167,50.6667,48.0000
28.8667,34.8462,37.2500,41.2000,33.0000,NaN,NaN,NaN,NaN,NaN
31.2857,32.9167,36.8333,40.0000,31.0000,NaN,NaN,NaN,NaN,NaN
29.4545,35.3889,44.0556,43.3500,36.3500,38.4000,41.0000,39.8000,NaN,NaN
27.1429,33.6000,39.7500,48.5000,39.3333,42.0000,NaN,NaN,NaN,NaN
29.4167,32.6000,41.5000,50.0000,39.0000,31.5000,34.0000,NaN,NaN,NaN
29.8333,35.4167,47.4000,53.3333,43.0000,NaN,NaN,NaN,NaN,NaN
30.4783,36.7778,52.0000,50.2500,NaN,NaN,NaN,NaN,NaN,NaN
32.8750,48.9444,56.3500,44.9000,36.8500,36.9000,42.4000,43.4545,46.3333,NaN
24.1111,37.4167,47.1667,39.5833,36.9167,40.3333,44.5833,46.5000,48.8462,55.0000
21.6250,42.2222,43.1600,42.5455,43.8750,43.9149,44.1071,48.2419,53.4000,60.9221
23.1818,48.0000,56.8182,47.3571,48.1765,44.8611,47.6154,53.9737,59.7297,67.6667
28.0000,59.0588,67.2353,50.9375,51.4444,56.5000,52.0000,NaN,NaN,NaN
27.9167,56.6000,68.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.8636,55.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.2857,51.6429,68.4000,58.0000,NaN,NaN,NaN,NaN,NaN,NaN
27.6000,44.6471,56.4400,49.2353,42.8333,48.8649,55.8205,54.5789,58.3421,63.9737
27.5385,47.3571,51.0714,46.5833,43.0000,43.3846,48.6667,48.1538,54.7500,65.3846
27.2727,46.5000,55.2727,46.1613,38.4167,40.2703,45.3333,50.6098,52.6923,56.0488
28.9091,50.0000,65.7143,59.2857,47.1250,36.0000,38.0000,NaN,NaN,NaN
31.4211,54.6250,67.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.9167,55.0833,62.4000,63.0000,56.0000,NaN,NaN,NaN,NaN,NaN
34.7500,53.2353,59.8333,59.0000,53.4000,34.0000,NaN,NaN,NaN,NaN
38.5833,57.6667,60.0556,52.6957,41.5714,36.0667,39.5000,48.7917,45.8750,48.6364
31.5000,46.0833,48.7692,36.7692,35.5385,35.0833,36.1538,47.7692,47.0000,47.3846
28.8000,39.6000,41.0588,36.9444,35.4286,34.6818,37.8800,43.1724,44.3448,43.4545
28.0000,39.4444,36.7895,38.4231,38.8571,35.0690,35.2000,37.7714,38.4138,36.5714
26.7692,40.0667,41.8333,42.2174,39.3462,37.7083,33.8667,32.6667,NaN,NaN
25.8333,37.3889,40.0455,40.7308,42.3913,48.0000,NaN,NaN,NaN,NaN
24.9231,38.7857,39.0714,36.6429,NaN,NaN,NaN,NaN,NaN,NaN
27.3333,37.0714,39.9048,37.7143,NaN,NaN,NaN,NaN,NaN,NaN
"val(:,:,4) =",,,,,,,,,
28.8125,34.2500,30.9333,35.7500,36.0000,NaN,NaN,NaN,NaN,NaN
25.1250,36.6364,31.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.3333,34.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.9231,37.8000,32.7143,34.0000,NaN,NaN,NaN,NaN,NaN,NaN
30.4444,36.0714,33.3889,38.3684,36.2308,NaN,NaN,NaN,NaN,NaN
28.3333,33.5333,35.8571,36.3889,35.8421,41.8667,40.0000,NaN,NaN,NaN
29.8824,32.8462,34.8750,34.5714,37.5000,43.0000,NaN,NaN,NaN,NaN
32.1538,37.4667,34.7857,34.2667,36.7857,43.0833,42.1111,NaN,NaN,NaN
31.7000,37.7059,35.3333,34.6957,39.0741,43.0741,43.6765,45.2222,51.2000,NaN
30.4545,34.9444,31.0000,35.2759,39.8571,40.3784,43.0000,48.2941,50.6792,55.1458
29.7692,33.2857,33.3571,34.0714,39.4286,44.4615,45.9167,46.5000,48.3636,54.9167
31.3333,35.4167,34.1333,34.2941,35.0000,39.6500,44.9130,43.4231,46.5357,55.1613
30.9286,33.2222,34.2632,31.7143,33.8800,34.9615,39.7333,43.4000,45.1481,55.7308
30.4167,37.0833,40.2500,34.8333,35.3333,34.8889,34.7500,42.0000,48.0000,NaN
35.3125,41.6429,40.6667,37.0000,NaN,NaN,NaN,NaN,NaN,NaN
29.9375,39.9000,38.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.0833,35.2000,37.7143,36.0000,37.7000,34.1667,35.6667,36.5000,NaN,NaN
29.0000,32.6000,36.3077,34.6429,34.1176,33.2000,37.2222,41.6875,44.0769,50.0000
31.5000,34.1765,38.6111,35.7619,33.9545,33.0952,37.6400,41.0000,44.4762,48.0625
31.5385,34.6000,37.1429,37.2667,35.0000,33.7500,39.0909,39.0000,44.0000,NaN
30.8125,39.6923,34.7500,41.4286,35.5000,33.5000,40.0000,38.5000,NaN,NaN
29.9091,32.6471,35.5909,44.0357,41.3000,36.8000,36.5000,42.0000,NaN,NaN
29.1667,30.4667,33.6667,37.4286,NaN,NaN,NaN,NaN,NaN,NaN
28.3529,30.7692,32.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.1500,28.6364,35.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.7778,31.6667,33.8333,36.6667,NaN,NaN,NaN,NaN,NaN,NaN
28.1667,32.9333,34.5833,41.3000,43.3333,NaN,NaN,NaN,NaN,NaN
25.4545,34.6364,35.5000,45.4444,48.4000,NaN,NaN,NaN,NaN,NaN
28.3750,35.3750,42.9167,49.3333,45.8750,40.3333,NaN,NaN,NaN,NaN
28.4000,42.3571,52.4286,44.1071,38.0000,35.5135,37.5938,42.1667,44.1111,51.2000
27.2000,36.5294,43.0800,38.0909,39.1250,42.0000,42.2931,46.1818,50.1351,56.1772
27.1250,33.3333,43.5500,40.5500,42.8500,43.1250,43.7500,51.4286,56.5000,62.0000
27.8750,35.5000,50.7273,45.4286,46.5000,NaN,NaN,NaN,NaN,NaN
30.8500,43.3333,48.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.5882,46.0909,54.6667,57.0000,NaN,NaN,NaN,NaN,NaN,NaN
25.4000,48.4444,52.8696,47.1250,52.7273,47.4000,44.8889,52.3529,56.0000,62.3000
26.7333,49.1250,48.7143,46.4231,43.9677,51.5143,55.5526,56.7750,61.0000,67.1765
34.4000,50.7333,49.5000,45.5652,44.2593,49.1379,50.1143,55.8684,61.1250,67.5000
30.2727,49.6471,52.2222,44.6538,39.9286,42.4615,48.1000,51.3333,55.2759,59.5882
31.2857,54.1667,62.0000,61.3333,43.0000,NaN,NaN,NaN,NaN,NaN
34.2667,58.6250,63.5625,54.3333,40.4167,37.9167,43.3000,51.0000,51.1667,58.6667
35.3333,56.0714,60.1667,49.8636,38.0000,36.2069,41.6857,50.3784,50.8537,48.7500
32.4167,57.4000,61.2727,42.6923,36.8182,35.0000,38.7778,41.9000,45.7143,42.4286
30.6923,46.4667,57.4118,41.8947,37.8000,38.3333,39.5000,40.8333,41.2941,39.6667
30.0000,36.8462,48.3750,36.6000,38.0000,41.5000,39.0000,40.0000,40.0000,35.0000
28.7778,35.7368,47.5417,41.6667,41.8837,39.7174,37.2727,37.4500,41.8333,37.2308
28.3846,32.1333,42.1429,45.4375,40.2500,37.6429,45.7500,NaN,NaN,NaN
28.9000,30.1250,38.0500,44.9583,38.3793,38.9286,NaN,NaN,NaN,NaN
27.8333,29.5333,36.5000,41.2500,37.6400,NaN,NaN,NaN,NaN,NaN
"val(:,:,5) =",,,,,,,,,
29.8000,36.5789,35.3750,33.0000,NaN,NaN,NaN,NaN,NaN,NaN
30.3182,30.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.4667,32.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.2143,39.1667,34.6250,32.8333,NaN,NaN,NaN,NaN,NaN,NaN
29.2500,41.8000,34.1875,39.6471,35.3333,NaN,NaN,NaN,NaN,NaN
34.1818,37.0588,39.3889,37.8846,37.2000,40.0000,NaN,NaN,NaN,NaN
31.0000,35.6429,35.9333,37.1667,41.8824,41.5000,42.0000,NaN,NaN,NaN
33.4706,38.3636,37.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.0909,39.1250,36.1111,36.9412,42.0000,43.3077,44.8000,NaN,NaN,NaN
31.4615,34.6250,35.0000,36.7727,40.7917,43.4800,45.3226,50.1923,56.1429,NaN
27.5000,34.0588,34.1000,37.5357,42.4545,42.4286,47.2955,50.3750,52.1800,59.7708
31.0625,36.5333,34.1053,36.8000,40.0000,45.2500,45.0769,43.7241,48.4333,59.5882
32.0000,35.9286,35.5333,35.5000,36.4500,39.0000,41.6087,43.8750,49.2609,59.2400
28.6250,35.8500,36.2083,34.0385,35.3333,37.3600,37.3478,42.8000,47.8235,54.7143
30.3333,42.7500,44.5000,36.0000,NaN,NaN,NaN,NaN,NaN,NaN
34.7619,46.1538,45.7778,38.0000,42.0000,NaN,NaN,NaN,NaN,NaN
28.0000,36.4286,43.3750,40.0000,NaN,NaN,NaN,NaN,NaN,NaN
27.2000,34.1765,45.1000,36.4286,35.6562,35.4483,38.8333,41.9630,45.8148,52.1429
27.3333,36.0833,46.8462,39.1667,34.0000,35.3333,39.7500,41.8333,43.3000,45.5556
30.0714,40.6111,50.9444,40.0000,34.2000,34.3571,36.5833,39.1000,40.7143,NaN
